cell,model,budget,budget_flops,n_params,clips_seen_D,d_run,n_tokens,metric_b_ridge,cka_linear,cka_rbf,mutual_knn,procrustes,rankme
vit_base_C1p0e17,vit_base,1p0e17,1e+17,134443392,28800,768,7680,0.9196135997772217,0.9257717356085777,0.9163767471909523,0.9114,1.6705665588378906,0.8050480484962463
vit_base_C1p0e18,vit_base,1p0e18,1e+18,134443392,240000,768,7680,0.8081636428833008,0.8939986750483513,0.8774517551064491,0.92815,1.6544699668884277,0.8755995035171509
vit_base_C1p0e19,vit_base,1p0e19,1e+19,134443392,2496000,768,7680,0.7016077041625977,0.826972022652626,0.7483615279197693,0.90895,1.628537654876709,0.7025773723920186
vit_base_C3p0e17,vit_base,3p0e17,3e+17,134443392,96000,768,7680,0.8686427474021912,0.915113277733326,0.897871121764183,0.90545,1.662725567817688,0.8982663750648499
vit_base_C3p0e18,vit_base,3p0e18,3e+18,134443392,768000,768,7680,0.7276210784912109,0.8045911192893982,0.7713049352169037,0.9181,1.6206779479980469,0.7966819405555725
vit_giant_C1p0e18,vit_giant,1p0e18,1e+18,1068666368,48000,1408,7680,0.8548230528831482,0.9358491227030754,0.9252885803580284,0.91835,1.675449013710022,0.9553793695839968
vit_giant_C1p0e19,vit_giant,1p0e19,1e+19,1068666368,384000,1408,7680,0.7161675095558167,0.9171856865286827,0.8834726959466934,0.91475,1.6549153327941895,0.942672913724726
vit_giant_C3p0e18,vit_giant,3p0e18,3e+18,1068666368,96000,1408,7680,0.9254974722862244,0.959169864654541,0.9508937038481236,0.90155,1.681359052658081,0.9835924966768785
vit_gigantic_C1p0e18,vit_gigantic,1p0e18,1e+18,1904647936,48000,1664,7680,0.9321348071098328,0.9639914371073246,0.9587364718317986,0.9218500000000001,1.6866718530654907,0.9972027391195297
vit_gigantic_C1p0e19,vit_gigantic,1p0e19,1e+19,1904647936,192000,1664,7680,0.81339430809021,0.9351280480623245,0.9118251502513885,0.9225,1.6743124723434448,0.9794570322220142
vit_gigantic_C3p0e18,vit_gigantic,3p0e18,3e+18,1904647936,48000,1664,7680,0.9322124719619751,0.9651837237179279,0.9554972611367702,0.93405,1.6869418621063232,0.9980839357639735
vit_large_C1p0e17,vit_large,1p0e17,1e+17,355013248,9600,1024,7680,0.919114887714386,0.9371939226984978,0.9371328726410866,0.92075,1.6734188795089722,0.7696169316768646
vit_large_C1p0e18,vit_large,1p0e18,1e+18,355013248,96000,1024,7680,0.8350589275360107,0.924513652920723,0.9063475504517555,0.9207,1.6671061515808105,0.924580916762352
vit_large_C1p0e19,vit_large,1p0e19,1e+19,355013248,1008000,1024,7680,0.7851459980010986,0.9536202177405357,0.9514471031725407,0.9259999999999999,1.6808329820632935,0.9878943329676986
vit_large_C3p0e17,vit_large,3p0e17,3e+17,355013248,48000,1024,7680,0.9399698376655579,0.9511104449629784,0.9427360743284225,0.9341,1.6802119016647339,0.9693682994693518
vit_large_C3p0e18,vit_large,3p0e18,3e+18,355013248,288000,1024,7680,0.7699194550514221,0.9050341695547104,0.8838251084089279,0.9202,1.651496410369873,0.90580203384161
vit_small_C1p0e17,vit_small,1p0e17,1e+17,66693120,48000,384,7680,0.9443256855010986,0.9284804984927177,0.9141345992684364,0.9282,1.674863338470459,0.732239584128062
vit_small_C1p0e18,vit_small,1p0e18,1e+18,66693120,432000,384,7680,0.8403897881507874,0.9074620231986046,0.8592355847358704,0.9425,1.6566238403320312,0.7857462167739868
vit_small_C3p0e17,vit_small,3p0e17,3e+17,66693120,144000,384,7680,0.9190934896469116,0.9381628148257732,0.8962991312146187,0.92655,1.674352765083313,0.8180887699127197
vit_small_C3p0e18,vit_small,3p0e18,3e+18,66693120,1296000,384,7680,0.7873888611793518,0.8329165577888489,0.7756291776895523,0.9317,1.6414737701416016,0.6386187473932903
vit_tiny_C1p0e17,vit_tiny,1p0e17,1e+17,49185600,57600,192,7680,0.9652309417724609,0.9326957985758781,0.9195566847920418,0.9431,1.6788177490234375,0.6338455677032471
vit_tiny_C1p0e18,vit_tiny,1p0e18,1e+18,49185600,576000,192,7680,0.8884693384170532,0.9377789683640003,0.9021260738372803,0.9561,1.6710773706436157,0.7230567336082458
vit_tiny_C3p0e17,vit_tiny,3p0e17,3e+17,49185600,192000,192,7680,0.9431183338165283,0.935086727142334,0.9093859940767288,0.9295,1.6750953197479248,0.7839635411898295
vit_tiny_C3p0e18,vit_tiny,3p0e18,3e+18,49185600,1728000,192,7680,0.8500480055809021,0.8650330603122711,0.8101140856742859,0.9521,1.6584049463272095,0.5388540426890056
