run_id,backbone,model_name,budget_flops,n_active_params,train_flops_per_clip,loss_main,loss_stability,loss_source,metric_a_error_f1,metric_a_error_acc,metric_b_error,clips_seen_D,global_batch,steps_done,seed,status
vit_base_C1p0e18,vit_base,vit_base,1e+18,134443392,5464809013248,0.415544,0.019720,train_running_mean,,,0.862720,192000,96,2043,239,done
vit_base_C1p0e19,vit_base,vit_base,1e+19,134443392,5464809013248,0.288110,0.006344,train_running_mean,,,0.741442,1824000,96,21828,239,done
vit_base_C3p0e18,vit_base,vit_base,3e+18,134443392,5464809013248,0.351617,0.011659,train_running_mean,,,0.811237,528000,96,5695,239,done
vit_giant_C1p0e18,vit_giant,vit_giant,1e+18,1068666368,29057869676544,0.535619,0.112336,train_running_mean,,,0.956765,48000,96,500,239,unconverged
vit_giant_C1p0e19,vit_giant,vit_giant,1e+19,1068666368,29057869676544,0.219305,0.044687,train_running_mean,,,0.934948,336000,96,4245,239,unconverged
vit_giant_C3p0e18,vit_giant,vit_giant,3e+18,1068666368,29057869676544,0.337708,0.108269,train_running_mean,,,0.937829,96000,96,1360,239,unconverged
vit_giant_C3p0e19,vit_giant,vit_giant,3e+19,1068666368,29057869676544,0.262215,0.037867,train_running_mean,,,0.911229,1056000,96,4191,239,incomplete
vit_gigantic_C1p0e18,vit_gigantic,vit_gigantic,1e+18,1904647936,48784654467072,0.578054,0.092337,train_running_mean,,,0.949371,48000,96,500,239,unconverged
vit_gigantic_C1p0e19,vit_gigantic,vit_gigantic,1e+19,1904647936,48784654467072,0.291258,0.083118,train_running_mean,,,0.970828,192000,96,2797,239,unconverged
vit_gigantic_C3p0e18,vit_gigantic,vit_gigantic,3e+18,1904647936,48784654467072,0.538447,0.104574,train_running_mean,,,0.953618,48000,96,500,239,unconverged
vit_gigantic_C3p0e19,vit_gigantic,vit_gigantic,3e+19,1904647936,48784654467072,0.219540,0.050018,train_running_mean,,,0.928193,624000,96,3771,239,incomplete
vit_large_C1p0e18,vit_large,vit_large,1e+18,355013248,11345156112384,0.444336,0.072070,train_running_mean,,,0.907773,96000,96,1000,239,unconverged
vit_large_C1p0e19,vit_large,vit_large,1e+19,355013248,11345156112384,0.243710,0.014985,train_running_mean,,,0.819429,864000,96,11375,239,done
vit_large_C3p0e18,vit_large,vit_large,3e+18,355013248,11345156112384,0.314333,0.029817,train_running_mean,,,0.852300,288000,96,3512,239,done
vit_large_C3p0e19,vit_large,vit_large,3e+19,355013248,11345156112384,0.241848,0.014432,train_running_mean,,,0.774662,2640000,96,28434,239,done
vit_small_C1p0e18,vit_small,vit_small,1e+18,66693120,3725347258368,0.506265,0.015181,train_running_mean,,,0.862536,288000,96,3212,239,done
vit_small_C1p0e19,vit_small,vit_small,1e+19,66693120,3725347258368,0.477947,0.011757,train_running_mean,,,0.793186,2688000,96,12582,239,incomplete
vit_small_C3p0e18,vit_small,vit_small,3e+18,66693120,3725347258368,0.439338,0.009972,train_running_mean,,,0.801041,816000,96,9204,239,done
vit_tiny_C1p0e18,vit_tiny,vit_tiny,1e+18,49185600,3198072913920,0.565634,0.018998,train_running_mean,,,0.896231,336000,96,3770,239,done
vit_tiny_C3p0e18,vit_tiny,vit_tiny,3e+18,49185600,3198072913920,0.582156,0.012115,train_running_mean,,,0.877512,960000,96,12674,239,done
